NurseID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
Q,e1,e2,D,e1,e2, , ,e2,e1,n2, , ,e2,e1,e2,e1,e2, , ,e2,e1,e2,n2, , , , , , , , ,D,D,D,n2, , , , , , , 
R,e1,e1,e1,n2, , ,e1,e1,e1,e1,e1, , , , , ,e1,e1,e1,e1,D, , ,e1,e1,e1, , ,D,n2, , , ,e1,e1,n2, , ,D,e1, , 
S, , ,e2,D,e1,e1,e2, , , , ,e1,e2,e1, , ,e1,e2,e1, , ,e1,e2,n1, , , , , , , ,e1,e2,n1,n1,n1, , ,e2,D, , 
T,n2, , , , ,e2,e1,e1,e2,D, , ,L,L,L,n2, , ,D,D,D,D,D, , , , , ,e2,e1,e2,D,L, , ,L,n2, , , , , 
U,e1,e2,e1,L,L, , , , ,e2,L,n2, , ,L,L,L,L,n2, , ,L,L,L,L, , ,e1,e2, , , , ,L,n2, , , , , ,e2,e1
V,L,L,n2,n1,n1, , ,D,e1,L,n2,n1, , , , , ,e1,L,L,L, , ,L,L,L,L,n1, , , , , ,D,D,D,D,n2, , , , 
W,L,L,L,n2, , , ,e2,L,L,L,n2, , ,e2,L,L,L,L, , ,L,L,n2, , ,L,L, , , , , ,L,L, , , , , ,L,L
X,e2,L,L,L,L, , ,e2,L, , ,n1,n1, , ,e2,D,L,n2, , ,L,L,L, , ,e2,n2,n1, , , ,n2,n1, , , , , , , , 
Y, ,e2,e1,e2,e1,e2, , ,e2,L,n1,n1, , ,n1,n1, , ,e2,e1,e2,e1,e1, , , ,e1,e2,e1,e1,e1, , , , , , , , , , , 
Z,e1,e1,e1,L,L, , , ,e1,L, , , ,L,L,L,L,L, , ,e1,L,L,L,L, , , ,L,L,L,L, , ,L,L,L,L,L, , , 
AA,e1, , ,e2,e1,e1,e2, , , ,e1,e2,e1,e2,n2, , ,e2,e1,e2,e1, , ,e2,e1,e2, , , ,e2,n2, , , , , , , ,e1,n2, , 
AB, ,D,D,D,D,D, , ,D,D,D,D, , ,D,D,D,D,D, , ,D,D,D, , ,D,D,D,D, , ,D,D,D,D,D, , , , , 
AC,n1,n1,n1, , ,e1,D,D,D,n2, , ,D,e1,D,n2,n1, , , , ,D,e1,e1,n2, , , , ,e1,e1, , ,e1,e1, , , ,D,e1, , 
AD,D,D, , ,D,D,D,D,n2, , ,D,D,D,D, , ,D,n2, , , ,D,D,D,D,n2, , ,D,D,D,D, , ,D,D, , , , , 
AE,L,L,L,L, , , ,e2,D,D,D,L,L, , , ,e2,L,L,L,L,L, , , ,e2,L,L,L,L,L, , , , , , , , , , , 
AF,L,L,n2, , , ,e2,D,L,L,L,n2, , , ,e2,D,L,L,n2, , , , ,e2,L,L,L, , , ,e2,L, , , , , , , , , 
AG, , ,e2,e1,e2,L, , , ,e2,n1, , , , , , ,D,e1,e1,e2,L,n1, , , , , , , ,e2,D,D,D,L, , , ,e2,n1, , 
AH, ,e1,e1,e1,D,L,L, , , ,e1,L,n2,n1, , , ,e1,e1, , , , ,e1,e1,e1,e1,e1,n2, , , , , , , , ,n2,n1,n1, , 
AI, , ,e2,e1,e1,e1,e1,e1, , , ,D,D,D,D,e1,e2, , , , , ,e1,e2, , , , ,e2,e1, , , ,e1,e2,D,e1,e1, , , , 
AJ, , , ,e2,e1,e2,e1, , , ,e2,e1,e1,e2,e1, , , ,e1,D,n2, , , ,n1,n1, , , , , ,n2,n1, , , , ,e2,n2, , , 
AK,D,D,D,D,D,D, , , ,D,D,D,n1,n1, , , ,D,D,D,D,n1, , , , , , ,D,D, , , , , , ,D,D,D,D, , 
AL,e2, , , ,e1,e2,e1,e1,e1,e2, , , , ,e1,e1,e1,e2,n2, , , ,e2,n2, , , ,e2,n2, , , , , ,e2,e1, , , , , , 
AM,n2, , , ,e2,D,n2,n1,n1,n1, , , , ,e2,D,D,D, , , ,e2,n2, , , ,e2,D, , , , , ,e2,D,D, , , , , , 
AN,L,n2, , , ,D,L,L,L,L,n2, , , , ,D,L,n2,n1,n1,n1, , , ,D,L, , , ,D,L, , , , , , , , ,D,D,D
AO,L, , ,L,L,L,n1,n1, , , , ,L,L,n2, , , ,e2,L,L, , , , , , , , , , , , ,L,n2, , , , , , , 
AP,L,L,L, , ,L,L,L,n1,n1, , ,L,L,n2, , , ,D,n2, , , , , , , , , , , , , , , , , , , , , ,e2
AQ,D,D,e1, , ,D,D,e1,D,D, , ,D,e1, , ,n2,n1, , ,D,D, , , , , , , , , , , , , , , , , , , ,n1
AR,n1, , ,e2,e1,e2,e1,L, , ,L,L, , , ,e2, , ,n1, , , ,e2,e1, , , , , , , , , , , , , , , , , , 
AS,e2, , ,D,D,D,D,D, , ,D,D, , ,n1,n1, , ,e2, , , , , , , , , ,D,D, , , , , , , , , , , , 
Problem status: Unfinished,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The minimised penalty = 4059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time elapsed: 18000.2s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
