NurseID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Y,a1, , ,a4,p4, , ,p4,p4,p4, , , , , ,p1,p1, , ,a4,a1,a2,d3,a5, , ,d5,p3
Z,d4,d5,p4,n2,n2, , , , ,a1,a1,a1,a1,a1, , , ,a3,d4,p1,p4,p1, , , , , , 
AA,d2,p5,n3, , ,a2,a1,d2,p2,p5, , , , , ,d5,p5, , ,a2,d4, , , ,n2,n2, , 
AB,a5,n3, , , , , ,p2,p2,p5,p1,p1, , , ,a2,a5, , ,d3,a5,p1, , , ,p1,n2,n2
AC,n1, , ,d3,d3,n2,n2,n1, , ,p3,p3,p5,p3,p1, , ,a2,p3, , ,d2,d2,d2,d2, , , 
AD,a2,a1,d3, , ,d5,p1,p1,n3, , ,a1,n1,n2, , ,d5,p5,p2, , , ,a2,n1, , , , 
AE,p2,p2,p2,p2,n3, , , , ,p2,p2,p2,p1,p3, , , ,n1,n1, , ,p3,p2,p3, , ,n1,n3
AF, ,a3,a1,a4, , , ,d3,n2,n2, , , , ,d4,d4,d2, , ,a3,d2, , ,d1,d1,d1,d2,d2
AG, , ,p3,p3,p3,n2,n2, , ,a3,a2,a2,a2,d2, , ,p2,p2,p2, , ,a3,d1,a5,p1, , , 
AH, , ,p4,n3,n2, , , ,p3,p3, , ,a5,p5, , ,a1,d1,a5,n1,n2, , ,d5,p3, , , 
AI, ,d4,d4, , ,n3,n2, , ,a1,n3, , , ,p2,p2,n2,n1, , , ,d1,d5, , ,a1,d1,d5
AJ, , ,d1,d1,d1,d1,a5, , ,d3,d3,a5, , , , ,a2,d3,d3,d3,d3, , ,d5,n1,n3, , 
AK, ,a1,n3,n1,n3, , ,a3,a1,a1,a1,d1, , , , ,d3,p1,p3,p3, , ,d1,d1, , ,p3,p2
AL, ,a2,d5, , ,d5,p4,n1,n1,n2, , ,a1,a1,a4,d3,d4, , , , ,a1,a3,a3,a1, , , 
AM,d3,a5,p5, , ,d3,d3,d1,d1,d5, , , , ,p2,n2, , ,p1,p1,p1,p1,p1, , , , , 
AN,a3, , ,p3,p3,p3,p3,p3, , ,a5,p5, , , ,a1,a3,p3,n3, , , ,d2,n2, , ,a2,a2
AO, ,p3,p4, , , , ,d5,p5, , ,p3,p3,p3,p3,p1, , ,p4,p3, , ,d4,d4,d4,d4, , 
AP,d5,p1, , ,a1,a1,a4,n3, , ,d5,p1, , ,a2,d1,d3, , , , , ,p1,p4, , ,d5,p4
AQ,a1,a1,a1,a1,a1, , ,a2,d3, , ,a2,a1,a1,a1, , , , , , ,p4,p5,p1, , ,d5,p5
AR,d2,a5,p3, , ,a4,a2,a1,d3,d5, , ,d3,d4,d2, , , , , , ,a4,a1,a2,a1,d2, , 
AS,p1, , , , ,p2,p4,p1, , ,a3,a4,p4,p1, , ,a4,n1,n1, , ,a4,d1,p4,p2,p4, , 
AT,p4, , ,p5,p1,p5,p1,p4, , , , ,d4,d4,d4,d4,d2, , , , , , ,p1,p1,p1, , 
AU,d2, , ,d5,p2,p2,p3,p1, , ,n2,n1, , ,n1,n1, , ,d4,p5,n2, , ,d1,d4, , , 
AV,a1,p1,p1, , , ,a3,d1,p1,p3, , , , ,d1,d1,d1,d1,d3, , , , , ,a1,a1,a4,a4
AW, , ,a2,d1,d2,d2,a5, , , ,a1,a3, , ,d1,a5, , ,a2,a2,a3,p4, , ,a4,a2, , 
AX, , ,a2,p1,p1, , ,d1,p4,p1,p5, , , ,n1,n2, , ,d1,n2,n1,n1, , , , ,a5,p4
AY, , , ,a3,a5,p1,p5, , ,n1,n3,n1, , , ,p3,p5,p3, , , , , ,a2,a2,a3,d1,d3
AZ, , , , ,a4,n1,n1, , ,d2,d2,d5, , , ,d4,d4,d4,d4, , , , ,d2,p2,p4,p2,n1
BA,a2,d2, , , ,a4,d3, , ,d3,d4,d4, , , , ,p5,p1,p5,p2,p5, , ,d3,p1, , , 
BB, , ,d3,n3,n1, , ,a5,n2, , , ,d3,d3,p2,p5, , ,a3,a3,a3,n1, , ,a3,p3, , 
BC,p2,p2,p2,p2,p2, , , ,a3,a3, , ,a4,a2,d3,d3,d2, , , , , , , ,a2,d4,d2,d5
BD, , , , ,d3,d2,d2,n3, , ,d2,n3, , ,d3,a5,n2,n2, , , ,a2,p1,p1, , ,a1,a1
BE, ,d1,n2,n1, , , ,a3,p3,p1, , ,d3,d1,n3, , ,a3,d1, , ,a1,a5, , ,a5,p4, 
BF,p5,p3,p5,p1,p5, , , , , ,a3,d3,d1,d1,d3, , ,a2,p1,n3, , , ,a3,a2, , , 
BG, ,a3,a3,p5, , , ,p2,p2, , ,a4,a4,a3,a3,a3, , ,d1,d4,d4,n2,n2, , , , , 
BH,d4, , ,d5,n1, , ,d1,d4,d3, , ,a2,a2,n2,n1,n1, , , , , ,a3,a1, , ,a4,a2
BI,p3,p3, , ,a2,a2,a2,a2, , ,a4,a4, , ,a1,d5, , , , , ,d4,d4,d4,p3, , ,a4
BJ,a2,d2,d5, , ,a2,d5,p5, , ,n2,n2, , , , ,p2,p2,p2,p2,p2, , ,p3,p3, , , 
BK,n3, , , , ,d3,d4,d4,d4,d4, , , , ,a3,d3,d3, , ,d4,d1, , ,n3,n2, , , 
BL, , ,a2,a5,n1, , ,a4,d3, , ,n3,n1,n3, , ,a1,a1, , , ,p2,p4,p2,n1, , ,p3
BM,d2,d4,d1, , ,a2,a2, , ,d1,a5, , , , ,p3,n1,n1,n1, , ,p3,p3,p3, , ,d3,d2
BN,a5,n2,n2, , , , ,p1,n1,n1,n1, , , ,a2,a2, , , ,d1,d5,p5,p3, , , ,a2,a2
BO,d1,p4, , ,a1,a3,a4, , ,n1,n1,n1, , ,a4,p1,p2, , ,a1,a1,a3, , ,a2,a2, , 
BP,d2, , ,a2,d1,p2,p1,p3, , ,d4,d2,p1,n3, , ,a2,d5,n3, , , , ,d2,d1, , , 
BQ, ,d1,d3, , , , ,a1,d5,n3, , ,n3,n2,n2, , ,d1,p1, , , , , ,d3,d5,p1,p4
BR, , , ,n3,n2, , , , , ,d5,p4,p4, , ,d1,n3,n2, , , ,a2,d1,p5, , ,d4,d4
BS, ,a2,p5,p1, , , ,d5,p1,p4,p5, , , , , , , ,p1,p1,p1,p1,p4, , ,n1,n1,n1
BT,d3, , , ,a4,n2,n2,n1, , ,d3,d5, , , , ,a4,a4,a4,a4,a4, , ,d2,n1, , , 
BU,n2, , ,a5,p5,p1,p5, , ,d3,p5, , , , , ,d1,n1,n1,n1, , , ,a3,a4,p5, , 
BV, , , , , ,a5,p2,p3,n3, , ,d3,d3,a5, , ,a1,a2,p2, , ,d4,d4,d1,p2,p2, , 
BW,n3, , ,a3,a2,a3,a3, , , ,d1,a5, , , ,d3,d3,n2, , , ,d1,p2,p3, , ,p3,n3
BX,p3,p1,p1,p1,p1, , , ,a4,d2,p2,p4,n2, , ,d2,d5, , , , , , , , ,d1,d2,a5
BY, ,a4,a4,d4, , , ,a3,a3,a1,d1, , , , , , , ,a2,a3,d4, , ,a1,a3,d2,n2,n2
BZ, , ,a5,p5, , , , ,d2,d5, , ,a4,a4,a4,a4,a4, , , , ,d3,p1, , ,a1,d3,d4
CA, , ,a3,a1,p3,p3,n2, , ,a4,a4,d4, , ,p1,n2, , ,d1,p4,p5, , ,d3,p1, , , 
CB,d5, , ,d4,d4,d4,d4,d4, , , , ,d1,d1,p5,p2,p1, , , , , ,p1,n2,n2, , , 
CC, , , ,a3,a3,d2,n3, , ,a3,a4,d1,p1,p2, , , ,n2,n1, , , ,a4,a4,a4,a4, , 
CD, , ,a4,d3,d1,p5, , ,p5,p3,p2, , , , ,a2,a1,n3, , , , , , ,d1,d5,p2,p3
CE, , ,a2,d2,d2,d5,p5, , , ,p3,p1,p5,n2,n2, , ,d2,d2, , ,a1,a1,a1, , , , 
CF, ,p5,n1,n1, , , , ,a1,a1,a1,a1, , , , ,d3,d3,d3,d3,d3, , , , ,d3,n3,n2
CG, ,a1,a4, , ,d2,d2,a5, , ,a3,a3, , ,a1,a1,a1, , ,d1,a5,n3, , ,a3,p1, , 
CH,p2,p2,p2, , ,a4,a2,p2,p2, , ,a3,a3,a3,a5,p1, , , , , ,d2,d1,p2,p1, , , 
CI, ,d1,d2,d2, , , ,a4,a2,a2,a2,a2, , ,a5,n3, , , ,d1,d1, , ,d3,n3, , ,a4
CJ, ,n1,n3,n1, , , ,a4,p3,p2, , , , , ,d3,p3, , ,p4,p4, , ,d3,d3,d3,p1,p2
CK, , , ,p1,n1, , ,a2,a4,a4, , , , ,d3,d5, , ,d2,n2,n2,n1,n1, , ,a5,p2,p2
CL,a4,a3,a3, , ,n1,n3, , ,a5,p1,p1, , ,a3,a1,n3, , ,n1,n1, , ,a2,d1, , , 
CM,d4,p4, , , ,a4,a4,d3, , , ,d2,d2,d2,d2,d2,n3, , , , ,d1,d3,n3,n1,n1, , 
CN, , ,a1,a1, , , , ,p3,p2,p2,p2,p2,p5, , , ,a1,d4, , , ,d4,d4,d4,d4,d4,d1
CO, ,d2,p4, , , , , ,a5,p3,p1,n2, , , ,a1,p1,p1,p1,p1,n3, , , ,d2,d3,d2,d3
CP, , ,d4,d4,d2, , , ,d1,d1, , , ,a1,a2,a2,d2,a5, , , , ,a4,a4,d5,p2,n1, 
CQ,a5,n2, , , ,a1,a1,a1, , , ,d1,a5, , , ,a5,p2, , , ,a1,a5,p2,p2,n3, , 
CR, ,a3,d2,d2,d2, , , ,a2,a2,a2,a2, , , ,a4,d4,d2,d2,d2,d2, , , , ,a3,n2,n2
CS, ,d5,p3,p3,p3,p4,n1, , , ,d3,n2,n1,n1, , , ,a3,a5, , , ,a3,p1,p4,n2, , 
CT,n2, , , ,a1,a1,a1,a1,d2,a5, , , , ,d1,d1,d1,d4,n3, , , , , ,a5,p5,n3, 
CU, , , ,a2,a2,a3,a3,p2,p2, , , ,a3,a3,a3,a3,a3,d5, , , ,a3,a1,a2,d5, , , 
CV, ,a2,a1,p4,p4, , , ,a1,d1,p4,p4,p1,p4, , , , ,a3,d2,d3,n3,n1, , , , , 
CW,p1,p1, , , ,p1,p2, , , , , , , ,a3,a3,a3, , ,p4,n1, , , , , , ,a4
CX, , , , , , , ,a4,p5, , , ,n3,n1, , , , ,a3,a1,a3, , , , , ,d3,d5
CY, , , ,a1,a5, , , ,n1,n1, , , ,a2,p1, , , ,a3,p4, , , , , , ,a3,a1
CZ, , , , , ,d1,d1,n2, , , , ,d1,d4,d1,p3, , , , , ,p2,p2, , , , ,d1
DA, , , , , ,d3,d3,p5,n2, , , ,d2,d3, , , , , ,d3,d2,d3,d3, , , , , 
DB, , , , , ,d3,d1,d3,n1, , , ,n2,n1, , , ,d5,p2,p2,p2, , , , , , , 
DC,a1,a5, , ,a2,p1,p4, , ,a3,d1,d1, , , , , , , , , , , , , , ,a2,a2
DD,d1, , , , , , ,d1,d1,d1,d1, , ,a3,a5, , , , ,n1,n1, , , , , , ,d2
DE,d3, , , , , , , , , ,d2,d3,d1,d2, , , , , ,d3,d1,n3, , , , ,d2,d1
DF, , ,n1,n1, , , , , , , , ,a2,d1,a5, , , , ,p2,p2,p2, , , , ,a3,a3
DG,d1,d5, , ,d5,n3,n1, , , , , ,n2,n1, , , , , , , , , , , , ,a1,a1
DH, ,a4,a3,n2, , , , , , , ,a3,p3,p2, , , , ,p4,p3, , , , , , ,a1,a3
DI,p1, , , , , , , , , , ,d2,d4,d2, , , , ,a2,d5,p3,n1, , , , ,d1,d1
DJ,p4, , , , ,p3,p3, , , , , ,d5,p4,p4,p4,p4, , , , , , , , , , ,d3
DK, , ,p5,n2, , , , , , , , ,a2,a2,d2,n1, , ,a1,a1,a1, , , , , , ,d2
DL, , , ,d5, , , , , , , ,a5,p2,p5, , , , ,a2, , , , , ,p3, , , 
DM,n1, , , , ,n3, , ,d1,n2, , , , ,d1, , ,d1, , , , , , ,p4, , , 
DN, , , , , , , , , , ,d2,d3, , ,a3,a3,a3, , ,a2,a3, , , ,d3, , , 
DO,p3, , , ,d3, , , , ,d2, , , , , , , ,a4,a4,a4,a4, , , , , , , 
DP,p2, , , , , , , , ,a2, , ,p4,p1,n3, , , , , , , , , ,a3,a2, , 
Problem status: Unfinished,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The minimised penalty = 2880,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time elapsed: 18000.9s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
