,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
T, , , ,p1,p1, , ,a2,a2,p2,p1,p3, , ,p1,p3,p1, , ,p2,p1, , ,p2,p1,p1,p3,p3
U,p2,p2,p2,p1,p2, , ,p2,p2,p1,p1,p2, , ,p1,p1,p2,p1,p1, , , , , ,d3,p2, , 
V,a2,d3,d1,n1,n1, , ,p3,p3,p2,p3,p3, , ,a3,p2,p2,p2,p2, , ,p3,p3, , , , , 
W,a1,p3,p1,p1, , , ,a1,p3,p3,p3,p1, , ,p1,p1,p1,p3,p1, , , ,a1,d2,d2,p3, , 
X,d1,d1,d1,p3,p3, , ,p3,p3,p3, , , , ,p3,p3,p3,p3,p3, , , , ,a3,d1,p3, , 
Y,a1,a3,d3,p2,p3, , , ,a1,p3,p2,p3, , , ,p3,p3,p3,p2, , ,a1,d3,p3,p2,p3, , 
Z,p1,p1,p3,p3, , , , ,d2,p1,p1,p3, , ,d1,d2,p3,p1,p1, , ,d3,p3,p1,p1,p3, , 
AA,p3,p1,p2, , , , ,a3,d1,n1,n1,n1, , ,a3,p3,p2,p2,p2, , ,p1,p1,p3,p3,p1, , 
AB,a1,a3,p1,p3,n1, , ,a1,p2,p1, , ,p2,p3,p3, , ,p3,p3, , ,p2,p3,p2,p2,p1, , 
AC,p1,p1,p1,p2,p1, , ,d3,p2,p2,p1,p2, , ,d1,d1, , , , , ,p2,p1,p1,p2,p2, , 
AD,d1,d3,p1, , , , ,p1,p1,p1,p1,p1, , ,p1,p1,p1,p1,p1, , ,d3,p1,p1,p1,p1, , 
AE,p1,p3,p3,p3,p3, , ,d3,d2,d3,d3,p3, , ,d2,p3,p1,p3,p1, , ,a2,p1,p3, , , , 
AF,a2,a3,a3,n1,n1, , ,a3,a2,a2,p2,p1, , ,p2,p2,p2,p1,p1, , ,a3,a1, , , , , 
AG,p2,p3,p1,p2,p3, , , , , ,d3,p3, , ,d3,p1,p3,p3,p2, , , ,p2,n1,n1,n1, , 
AH,p3,n1,n1,n1, , , ,p2,p3,p3,p3,p1, , ,d1,p3, , , ,p3,p2,p2,p2,p3, , ,p2,p2
AI,p2,p3,p2,p3,p3, , ,a3,p1,p1,p1,p1, , , ,p3,p1,p1,p1, , ,a1,a3,a1,p2, , , 
AJ,p1,p1,p1,p2, , , ,p1,p2,p3,p1, , , ,p3,p1,p2,p1,p1, , ,p2,p2,p1,p1,p3, , 
AK,a2,d1,d1,d1, , , , ,a1,p2,p1,p1, , ,a3,a1,d1,d2,d1, , ,p1,p1,p3,p1,p3, , 
AL, , ,d3,p1,p2, , ,a3,a1,a1,p2,p2, , ,d2,d1,d3,p1,p1, , ,a3,a1, , , ,d2,d3
AM,a2,a2,n1,n1,n1, , , , , ,d1,p1,p3,p1, , , ,p2,p1, , ,d1,p1,p1,p1,p3, , 
AN,d1,p2,p2,p3, , , ,a2,a3,a3,d1,p1, , , ,a3,d1,n1,n1, , ,p2,p1,p3,p3,p2, , 
AO, , , ,a3,p3,p2,p3,p2,p2, , , ,a1,p2,p1,p2,p1,p2, , , ,d3,d2,p3,p1, , , 
AP,d1,d1,d1, , , ,d3,p1,n1,n1,n1,n1, , , ,d3,d3,d2,d2, , , , , , ,p1,p1,p1
AQ,p3,p1,p3, , , ,p1,p1,p3,p3,p2, , , ,a3,a3,a2,p2, , , ,a3,p2,p2,p1, , , 
AR,a1,n1,n1,n1, , , ,d3,p1,p2,p2, , , ,d2,p2,p2,p2, , , ,p2,p2,p1,p2,p2,p2, 
AS,d2,d2,p1, , , ,a2,p2,p2,p3,p1, , , ,d2,p2,p3,p3, , , ,a3,p3,p1,p3, , , 
AT,a1,a3,a3,p2, , , ,d3,d1,d3, , , , , ,a1,n1,n1, , , ,d1,d1,d2,p1,p2,p2, 
AU,a2,p3,p3,p3,p3,p3, , , ,a2,d1, , , ,d3,p3,p3, , , ,d1,d3,d1,n1,n1, , , 
AV, , , , , ,p2,p1,p1,p2,p2,p3, , , ,p1,p3,p2,p1, , , ,p2,p2,p3,p3,p2,p2, 
AW,p1,p1,p2,p2, , , ,d3,p1,p1,p1,p1,p2, , , , ,d3,p1,p1,p2,p1,p2, , , , , 
AX,d3,d2,d1,p1, , , ,a1,d2,d3,p2, , , ,p2,p1,p1,p1, , , ,p1,p1,p1,p1, , , 
AY,d2,d2, , , , , , , , ,d2,d1, , , , , ,d2,d1, , ,d3,d2,d1,d2, , , 
AZ,p2,p2, , , , , ,p3,p2, , , , , ,a1,a3, , , , , ,p2,p3,p2,p3, , , 
BA,d1,p3, , , , , ,a2,a3, , , , , ,a2,d1, , , , , ,p3,p2,p2,p1, , , 
BB,d2,d2, , , , , ,d3,d3, , , , , ,d3,d2, , , , , ,p2,p2,p2,p2, , , 
BC, , , ,a2,a1, , ,d3,d3, , , , , ,a3,a1, , , , , ,a2,p1,p2,p1, , , 
BD,a2,p1,p2, , , , , , , , , , , , ,a3,p2, , , , ,d2,p3,p3,p1,p2, , 
BE,a2,a3, , , , , ,p3,p3,p3, , , , , , , , , , , ,d3,d1,p1,p3,p3, , 
BF,d3,d3, , , , , ,d1,d1,d1,p1,p1, , , , , , , , , ,a1,d1,d1, , , , 
BG, , ,p1,p1, , , ,a1,a2,a1,p1, , , , , , , , , , ,a2,p1,p2,p1, , , 
BH, , ,a3,a1, , , ,p1,p2, , , , , ,d3,d3, , , , , ,a1,p3,p1,p2, , , 
