,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
BH,a1,a3, , , , , , ,a3,a3,a2,p3, , ,a3,a3,d2,d1,p4, , , ,a3,d3,d1,d1,d2, 
BI, , ,a2,a2,a1, , , , , ,p3,p3, , ,a1,a2,a1,a2,a1, , ,a1,a4,a1,d4,d5, , 
BJ, ,d2,d2, , , , ,a3,p2,p3,p2,p3, , ,p2,p3,p1,p2,p1, , ,d2,d2,d2,d4, , , 
BK, , , ,d3,d3, , , ,p2,p3,p1,p1, , ,d3,d4,p2,p1,p3, , , , ,d1,d1,d1,p1,p3
BL, , ,a1,p1, , , , ,p2,p1,p4,p2, , , ,a2,d1,p3,p4, , ,d1,p5,p3,p2,p3, , 
BM,d3,d3, , , , , ,d3,p3,p1,p3,p2, , ,d3,p3,p3,p1,p2, , ,n2,n2, , , ,d2,d1
BN,d1,d1,p1,p3,p3, , ,a2,a3,d2,p3,p5, , ,a2,p1,p1,p3, , , ,d1,d1, , , , , 
BO,p2,p2,p1,p1, , , ,d1,p1,p2,p1,p2, , ,p1,p1,p2,p1, , ,a3,d2, , ,a1,a2, , 
BP, ,d4,d2,p2, , , ,a2,d2,d1,d1,p3, , , , ,p2,p2,p2,p1,p3, , ,a2,a5,p2, , 
BQ, ,d1,d1, , , , ,p5,p2,p1,p1,p1, , ,p4,p2,p1,p1,p4, , , , , ,d2,n2,n2, 
BR, ,d2,d1, , , , , ,a2,a4,d4,d1, , ,a4,a2,d4,d2,d3, , ,a2,a2,d1,d2,d2, , 
BS, ,a2,p1,p1,p1, , , ,d4,d3,p4,p4, , , , , ,d4,p1, , ,d3,d3,p4,p1,p1, , 
BT,d3,d2, , , , , ,d3,d2,d3,d2,p1, , , , ,d3,d3,d2,d2,d3, , ,d2,p3,p3,p1,p1
BU, ,d2,d1, , , , ,d3,p1,p1,p1,p1, , , ,a3,a1,n3,n2,n1, , ,d3,p1,p1,p1, , 
BV, ,a3,a3,a1, , , ,d1,p3,p2,p2,p2, , , , ,a1,a4,a2,a4,a3, , ,a3,a4,a1, , 
BW, ,d3,d2, , , , ,a3,d1,d3,p3,p2, , , ,a3,d3,d1,p2, , ,d3,d3,d4,d1,d1, , 
BX, ,p2,p5, , , , , ,p2,p5,p3,p1, , ,d2,d5,p2,p3,p3, , , , , ,p2,p3,p1,p3
BY, ,d1,d4,p4,p2, , , ,p2,p2,p5,p2, , , , , ,a3,d2, , ,d1,p4,p4,p2,p2, , 
BZ, ,p2,p3,p2,p2, , , ,a1,p3,p1,p1, , ,a4,d1,d2,d1,d4, , , , , , ,d1,p3,p2
CA, ,d2,d3, , , , ,d3,d2,d2,p2,p2, , ,d1,d1,p1,p4,p3, , ,a2,a3,d2,p2, , , 
CB, ,p1,p1,p2,p4, , ,d3,d3, , , , , ,p4,p1, , , ,p2,p2,p4,p1,p5, , ,a3,d3
CC, , , , ,p2,p1,p2, , ,a3,p1,p2, , ,a3,d2,d1,d3,d4, , ,a2,d1,p2,p2,p1, , 
CD, ,p5,p2,p2,p3, , ,a3,a3,a1,a2,d2, , ,d1,d1,d3,d3,d1, , , , , ,a2,d2, , 
CE, ,p1,p1,p1,p3, , ,a2,a1,a2,a1,p1, , ,a1,d2,p3,p3,p3, , ,p4,p3, , , , , 
CF,p2,p1, , , , , , ,a2,d2,d3,d3, , ,a1,a2,p5,p2,p1, , ,a2,a1, , ,p1,p2,p2
CG, , , ,a1,d2,d1,p1, , , ,d5,p1, , ,a3,d2,p1,p1,p1, , ,d1,d2,d2,d1,a5, , 
CH, , ,d2,d2,d1,p2,p1, , , ,a2,a4, , ,a2,p2,p1,p4, , , ,p3,p2,p4,p1,p1, , 
CI,a3,d1,p1,p2, , , ,d3,p3,p3,p5,p3, , , , , ,a2,p3, , ,a2,d3,d3,p1,p1, , 
CJ, ,p3,p2, , , , ,p3,p3,p1,p4,p2, , , ,d3,p1,p1,p1, , ,p2,p2,p1,p1,p2, , 
CK, , ,d1,p2, , ,d1,d3,d1,p1,p4, , , ,d2,d1,d4,p2,p4, , ,p2,p2,p1, , , , 
CL, ,p2,p1,p3,p2, , , , , ,d1,d1, , ,a1,a4,a2,a1,d2, , ,a2,d2,d2,d1,p3, , 
CM, , , , , ,d5,p4,p5,n1,n3, , , , ,d3,d4,d1,d4, , , , ,d1,p4,p2,p5,p2, 
CN, ,p4,p3,p1, , , ,p2,p2,p1,p4,p4,p2, , , ,p3,p1,p3,p5, , , ,d3,p3,p2, , 
CO,a3,a3,a4, , , , ,a4,a3,p4,p1,p3,p3, , , ,d2,p4,p4,p1,p4,p1, , , , , , 
CP,p2,n1,n1,n1, , , ,p1,p2,p2,p2,p4,p2, , , ,d1,d3, , , ,d4,p4,p1,p1,p2, , 
CQ,a3,p2, , , , ,p2,p1,p2,p1,p2, , , ,p1,p3,p3,p2, , , ,a5,p1,p3,p2,p1,p1, 
CR, ,p3,p1, , , , , ,a2,d4,p4,p4, , , ,a5,p3,p4,p4,p1,p3, , , ,a2,a2,a2,d4
CS,p1,p1,p1,p1, , , ,p2,p2,p2,p2,p3, , , , , ,p2,p3,p1,p5,p2,p1, , , ,p2,p3
CT,d4,d2,d2,p3, , , ,a2,p3,p3,p3,p3,p3, , , ,d1,p3,p3, , , , , ,d2,d2,d2,d2
CU,a3,p2,p2,p2, , , ,d1,d1,p2,p2,p2,p2, , , ,a1,d2,p5,n1,n3,n1, , , , , , 
CV,a4,a3,a2,d3,d2, , , ,a1,d3,d3,p3,p1,p1, , , , , ,a4,a1,d1,p1,p3,p4, , , 
CW,d3,d3, , , , , ,d3,d2, , , , , ,a3,d1, , , ,p1,p1, , , , , ,a2,a2
CX,d3,d3, , , , , ,d3,p1, , , , , ,a1,p3, , , ,d3,p3, , , , , ,a3,a1
CY, , ,p1,p4, , , , , , , , , ,a1,a2, , ,p1,p2,p2,p1, , , ,a1,a3, , 
CZ,d1,n3, , , , , ,p2,p3, , , , , ,p1,p1, , , , , ,a3,d2,p3,p2, , , 
DA, , , , , , , , , , , , , ,a2,d3,d3,p3,p3, , ,d2,p1,n1,n1,n2, , , 
DB,p3,p3, , , , , ,p3,p2, , , , , , , , ,a3,a1,d3,p3, , , ,p2,p2, , 
DC,d4,p4, , , , , ,p3,p3, , , , , , , , ,a2,d1,d3,d4, , , ,d3,p1, , 
DD,a3,d3, , , , , ,a2,d5, , , , , ,d3,d2, , , , , ,d1,d2,d1,d3, , , 
DE, , , , , , , , ,a1,d2, , , , ,d2,p1,p1,p3, , , ,d1,p1, , , ,d1,d1
DF,a2,a1, , , , ,a2,d3, , , , , , ,a1,a2, , , , , ,a2,d1,p3,p2, , , 
DG, , , , , , , , , , ,a3,a1, , ,d2,p2,p5, , , , ,a3,d1,p2,p1,p2, , 
DH, , , , , , , ,p4,p3, , , , , , , , ,a3,d2, , ,a1,d2,d4,p5,p2, , 
DI, , , ,d2,d1, , ,d1,d3, , , , , ,d2,d1, , , , , ,d3,d4,p3,p3, , , 
DJ, , , , , , , , , , ,d1,d3,d3,d1,d2, , , , ,p3,p3,p3,p3,p3, , , , 
DK, , , ,a1,d3, , , , , ,a2,d3,d1, , , , ,d3,d1,d5,p3,p1, , , , , , 
DL,a2, , , , , , ,p3, , , , , , ,p3, , , , , , ,d1,d1,d1,d1,p3, , 
DM, , , , , ,p3, , , , , , , , ,p3,p2, , , , , ,a2,a2,p2,p1,p3, , 
DN,d2, , , , , , ,a1, , , , , , , ,a5, , , , , , ,d3,d2,d3,d4, , 
DO,p3, , , , , , ,d2, , , , , , ,a2,p3,p3, , , , ,a3,a3, , ,p3, , 
DP,a3, , , , , , , , ,d3, , , , ,d3, , , , , , ,a1,a3,a2,p1,p3, , 
