NurseID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
W,e2,n2, , ,e2,L,L,L,L, , ,L,L,L,L,n2, , ,e2,L,L,L,L, , , , , , , , , , , , ,e2,D,D,D,n2, , 
X,e2,L,L,L,n2, , ,e2,L, , ,D,L, , ,L,n2,n1,n1, , ,L,L,L,n1, , ,e2,n2, , , , , ,e2,n1, , , , , , 
Y,L, , ,e2,e1,e2,e1,e2, , ,n1,n1,n1,n1, , ,e2,e1,e2,e1,e2, , ,e1,e1,e2, , ,e1,e1,e1,e2, , , , , , , , , , 
Z,e1,e1,e1,L,L, , , ,e1,L, , , , ,D,e1,e1, , ,L,L, , ,L,L,L,L,L, , , ,e1,L,L,L, , ,L,L, , , 
AA, , ,e2,e1,e1,e2,D, , , ,e2,e1,D,e1,n2, , ,e2,e1,e2,e1,e2, , ,e2,n2, , ,e2,D, , , , , , , ,e2,n2, , , 
AB,D,D,D,D,D, , ,D,D,D,D,D, , ,D,D,D,D,D, , , ,D,D, , ,D,D,D, , , , ,D,D,D,D, , ,D,D, 
AC,n1,n1,n1, , ,e1,e1,e1,e1,n2, , ,e1,n2, , ,D,D,e1,e1,e1, , ,n2,n1, , , , ,e1,e1, , , , , ,D,e1,e1,e1, , 
AD,D,D,n2, , ,D,D,D,D,D, , ,D,D,D,D,n2, , , , , ,D,D,n2, , , , , ,D,D,D,D,D, , , , , , , 
AE,L,L,L,L,L, , , ,D,D,D,L, , , , ,e2,L,L,L,L,L, , , , ,e2,D,L,L,L,L, , , , , , , , , ,e2
AF,L,L,n2, , , ,e2,L,L,L,n2, , , , ,e2,L,L,n2, , , , , ,e2,L,L,L,L, , , ,L,L,L, , , , , , , 
AG, , ,e2,e1,e2,L, , , ,e2,n1, , , ,e2,e1,e1,e2,n1,n1, , , ,e2,e1,e2,L,L, , , ,D,L, , , , , , , , , 
AH,e1,e1,e1,e1,e1,L, , , ,e1,D,e1,D,L, , , ,n2,n1, , , , , ,e1,e1,e1,e1,e1,n2, , , , , , , ,n2,n1,n1, , 
AI, , ,e2,e1,e1,e1,e1,e1, , , ,e1,D,D,D,e1,D, , , , ,e1,e2,e1, , , ,e2,D,D,e1, , , , , ,e1,e1,e1, , , 
AJ, ,e2,e1,e2,e1,e2,e1, , , ,e2,n2,n1, , , , ,e2,n2,n1,n1, , , ,e2,n2, , , , ,e2,D, , , , , , , , , , 
AK,D,D,D,D,D,D, , , ,D,D,D,D,D,n1, , , ,D,D,D,n1,n1, , , , , , , , , , , , , ,D,D,D, , , 
AL, , , ,e2,e1,e1,e2,e1,e2, , , ,e2,e1,e1,e2,e1,n2, , , , ,e2,n2, , , , , ,e2,n2, , , ,e2,e1, , , , , , 
AM,e2,n2, , , ,e2,D,D,n1,n1,n1, , , , ,e2,D,D,D,D,D, , , , , ,e2,n2, , , ,e2,n2, , , , , , , , , 
AN,D,D,D,D,D,D, , , ,n2,n1,n1, , , , , ,L,L,L,L,L,n2, , , , , ,L,L,L,n2, , , , , , , , ,D,n1
AO,L, , ,n1,n1, , ,L,L, , , ,L,n2, , ,e1,e1,e1,e1,e2, , , , , , , , , , , , ,e1,n2, , , , , , , 
AP, , ,L,L,L,L,L, , ,L,L,L,n2, , , , , ,n2,n1,n1, , , , , , , , , , , , , ,L,L, , , , , , 
AQ,n2,n1,n1, , ,D,D,D,D,D, , ,D,e1,e1,e1,n2, , , , , , , , , , , , , , , , , , , , , , , , , 
AR,L, , ,e1,e2,e1,e2,L, , ,L,L, , , ,L, , ,e1, , , ,e1,n1, , , , , , , , , , , ,n1, , , , , , 
AS,D,D, , ,e2,D,D,D,D, , ,e2, , ,D,n1, , ,D, , ,n1, , , , , , ,D, , , , , , , , , , , , , 
Problem status: Unfinished

The OM penalty = 3923
The Underworked penalty = 12780
The minimised penalty = 16703
Time elapsed: 3600.1s.
