NurseID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
BE, ,a3,a4,a2, , , ,d3,d3,d3, , ,p2,p2,p1,n1, , , , , ,a1,a5, , ,a5,n3,n2
BF,p5,p3,p5,p3,p5, , , ,d1,p5, , ,d1,d2,p5, , , , ,n2,n2, , ,a2,a1, , , 
BG, ,a3,a3,a1,d1, , ,a1,p2,p2, , , , ,a3,a3, , ,n1,n2, , ,p1,n2,n1,n3,n1, 
BH,a2,d3,d5, , ,a4,a4,a3,d2,d5, , ,d1,d1,d2,n1,n1, , , , , , ,a3,n2, , , 
BI,a1,a4,n3, , ,a1,a4,a1, , , ,a1,a2,a1,a1,a4, , , , , ,d4,d4,d4,p3, , , 
BJ, ,d1,n3,n2, , , , ,a3,d1,p2,n3,n2, , ,p1,p5,p2,p2,p2, , , ,d2,p1, , , 
BK,n3, , , , ,d3,d4,d4,d4,d4, , ,a3,a3,n2, , ,a5,n3, , , , ,a3,p3,n2, , 
BL, , ,a5,p4,n1, , ,d3,d1,d3, , ,d3,d2,d2, , ,n1,n3, , , ,a1,p3, , ,d3,d1
BM,d1,d4,d1, , ,a5,n3, , , ,p5,p2, , , ,d4,d3, , , , ,n2,n1,n3, , ,n2,n1
BN,a5,n2, , , , , , ,p5,n1,n2,n1,n1, , ,a2,d2,a5, , ,d5,p5,p1,p3, , , , 
BO, , ,a3,a5, , , ,d1,n1,n1,n1, , , , ,a1,p2, , ,d3,d4,n3, , ,a2,d3,p1,p4
BP, , , , ,a2,d2,d2,p2,n3, , ,a2,p1,p2, , ,d2,p3,p2, , ,a4,d1,d1,p2,p2, , 
BQ,d4,p4, , , , , ,d2,d5,n3, , ,d5,n3, , ,d3,d2,d3, , , , , ,a1,d3,d2,d4
BR,d3,d4,p4, , , , , , ,d1,d2,d2,p4,n3, , ,n3,n2, , , , ,d3,p5, , ,a4,a4
BS,p4, , ,a4,a4, , ,d5,p1,p4,p5, , , , , , , ,p1,p1,p1,p1,p1, , ,n1,n1,n1
BT, , , ,d5,p3,n1,n2,n1, , ,d2,d5, , , , ,a4,a4,a4,a4,a4, , ,d5,p3, , , 
BU,n1, , ,d4,p5,p1,p5,p1, , ,a3,a3, , , ,d3,n2,n2,n1,n1, , , ,a1,a4, , , 
BV,p3, , ,d4,d3,d3,d3,d3, , ,a4,d3,d3,d1, , ,a1,a2,a1, , , ,d4,d1,p3, , , 
BW,a2, , ,d4,d2,p5,p2, , ,d3,d3,d3, , , ,a3,a2,a3,d4, , ,p2,p2,p2, , , ,a2
BX, ,p1,p1,p1, , , , ,d2,a5,n3, , , ,d1,d2,d5, , ,d1,d1, , , ,d1,a5,p2,p3
BY,a1,p5, , ,d3,d4,d1,n3, , ,d2,p4, , , , , ,a1,d2, , , , ,a2,a1,a2,n2,n2
BZ, ,d2,p2,p5,n2, , , ,p2,p1, , ,a4,a4,a4,a4,a4, , , , , , , ,a1,d2,d3,d3
CA,a1,a5,n2, , ,a4,d2,d2, , ,d2,a5,p1,p1, , ,a2,d1,n3, , ,d3,d2, , , , , 
CB,d3, , ,d4,d4,d4,d4,d4, , , , , , ,d1,p5, , ,d4,d1,d4,n2, , ,a3,a5, , 
CC,n1, , , , ,p1,n3, , ,a3,d1,d1, , , ,p1,n2,n2,n1,n1, , ,a4,a4,a4,a4, , 
CD, ,a3,a4,n1, , , ,a4,d2,d2,d2, , ,a2,a2,p3, , ,a3,a2,a1,n1, , ,d3,d5, , 
CE, ,p4,p5,n3, , , ,a1,a1, , , ,n3,n2,n2, , ,a1,p1, , ,a1,p4, , , ,d2,d5
CF,n2,n2,n1,n1, , , , ,a1,a1,a1,a1, , , , ,d3,d3,d3,d3,d3, , , , ,d3,n1,n3
CG, , , , ,a1,a4,a4,a5, , ,a3,d5, , ,a1,a1,a1, , ,p4,n2, , ,a2,d5,n3, , 
CH,p2,p2,p2,p2,p2, , ,p3,p2, , ,d1,d1,d5,p3,p3, , , , , ,d2,p1, , , ,d5,p2
CI,a3,d1,d2,d2, , , ,a2,a2,a2,a2, , ,a5,p1,p2, , ,a3,p2,p3, , ,p2,n3, , , 
CJ,p3,n1,n3,n1, , , , , ,p2,p2,p4, , , ,d3,d2, , ,a2,a2, , ,d3,d3,d3,d2,d2
CK, , ,d3,a5, , , ,a1,a4,a4,a5,n1, , ,a2,d1,d4, , ,p4,p2, , , , ,a2,p2,p2
CL, , , ,d2,a5,n3,n1, , ,d1,p1, , , ,a1,a2,a2,a2,a1, , ,p3,n2, , , ,p2,p2
CM,p4, , , ,a2,p4,p2,p2,n3, , , ,d2,d2,d2,d2,d1,n1, , , ,d1,d5,p4,p4, , , 
CN, , ,d3,p1, , , , ,d3,p2,p2,p2,p2,p5, , , ,d4,d1, , , ,d3,d4,d4,d4,d4,d4
CO,a3, , , , , , ,a4,a4,p4,p1,p5, , , ,a3,p1,p1,p1,p1,n2, , , ,d1,p4,p1,n2
CP, ,a4,d3,d3,d4,d5,n1, , , ,d1,d3,d4,d3,a5,n1, , , , , ,a4,a1,d3,d2, , , 
CQ,a5,n3, , , ,a3,a1, , , ,a4,a4,a5, , , ,a5,p2, , , ,a3,a3,a5,p1,p1, , 
CR,d4,d2,d2,d2,d2, , , ,a2,a2,a2,a2, , , , , ,d2,d2,d2,d2,p4,n2, , , ,d4,d2
CS, , , ,d5,p4,p1,p3,p2,p5, , , ,p5,n1, , , ,a3,a5, , , ,d5,n1,n1,n2, , 
CT,a4,n3, , , ,a1,a1,a1,a5,p5, , , ,a4,d1,d1,d1,d2,d4, , , , , ,a4,a3, , 
CU, , ,a2,a2,a2,a5,p5,n1, , , , ,a3,a3,a3,a3,a3,d5, , , ,a1,a3,d2,a5, , , 
CV, ,a3,a2,a4,n2, , , ,a4,a3,a3,a3,p4,p4, , , , , , , , ,a1,a4,a2,a1,a4,a4
CW,p1,p1, , , ,p1,p2, , , , , , ,a1,a3,a3,a3, , , , , , , , , ,a5,p4
CX, , , , , ,a1,a3,n2, , , ,d2,n3,n1, , , , ,a3,a1,a3,n1, , , , , , 
CY, , , ,a1,n3, , , ,n1,n1, , , ,a2,a3, , , , ,a3,a1, , , , , ,d2,d4
CZ, , , , ,a3,a4,a2,p5, , , ,a3,p1,p1, , , , ,a2,a2,a3, , , , , , , 
DA,d5, , , , ,d2,d3, , , , , ,d4,d3,d3, , , , ,a2,a3,d3,n1, , , , , 
DB, , , , ,a5,n1,n2,n1, , , , ,d1,d1,p3, , , ,p2,p2,p2, , , , , , , 
DC, , , , ,a3,a1,a1,d3,d4, , , ,d3,d3, , , , ,a2,d3,a5, , , , , , , 
DD,d1,d1, , , , , , ,d1,d1,d1,a5,n2, , , , , , ,n1,n1, , , , , , ,a3
DE,d2, , , , , , , , , ,d1,d1,p1,p5, , , , ,a1,d3,d1, , , , , ,d1,d3
DF, ,n1,n1, , , , , , , , ,a4,a1,a4, , , , , ,p2,p2,p2, , , , ,d1,d1
DG,d1,d5, , ,d5,p1,p1, , , , , ,n2,n1, , , , , , , , , , , , ,a4,a4
DH, , , , , , , , , , ,a4,a4,p3,n2, , , ,p4,p4,n3, , , , , , ,p3,p2
DI, , , , , , , ,a2,d3, , ,d4,d2,d3, , , , , ,d5,n1,n1, , , , ,a1,d1
DJ,p4, , , , ,a3,a3, , , , , ,a5,p4,p4,p4,p4, , , , , , , , , , ,d2
DK, , ,p4,n2, , , , , , , , ,a2,a2,a2,n1, , , ,d4,d2, , , , , ,a2,a1
DL, , , , , , , ,a4, , ,a5, , , , ,n2, , , , , ,p3, , ,d5, , ,d5
DM, , , , , , , , , ,a3, , , , , ,d1,d1,d1,d1, , , , , ,p4, , ,a5
DN, , ,d5,n2, , , ,d2,a5, , , , , , , , , , ,p4, , , , ,d5, , , 
DO,n1, , , , , , , , , ,n3,n2, , ,d1, , , ,a2,a4,d1, , , , , , , 
DP, , , , , ,d2,d3, , ,a2,p1, , , ,n3, , , ,d1, , , ,a5, , , , , 
Problem status: Unfinished

The OM penalty = 1970
The Underworked penalty = 0
The minimised penalty = 1970
Time elapsed: 3599.9s.
